timestamp,output[0],output[1],output[2],output[3]
0,1050.0,1050.0,1050.0,1050.0
102532,1050.0,1050.0,1050.0,1050.0
200018,1050.0,1050.0,1050.0,1050.0
302504,1050.0,1050.0,1050.0,1050.0
405118,1050.0,1050.0,1050.0,1050.0
502511,1050.0,1050.0,1050.0,1050.0
602501,1050.0,1050.0,1050.0,1050.0
699986,1050.0,1050.0,1050.0,1050.0
802501,1050.0,1050.0,1050.0,1050.0
899984,1050.0,1050.0,1050.0,1050.0
1002572,1050.0,1050.0,1050.0,1050.0
1104999,1050.0,1050.0,1050.0,1050.0
1202509,1050.0,1050.0,1050.0,1050.0
1302513,1050.0,1050.0,1050.0,1050.0
1400000,1050.0,1056.0,1051.0,1055.0
1502519,1094.0,1105.0,1104.0,1095.0
1599999,1096.0,1114.0,1108.0,1103.0
1702529,1138.0,1144.0,1137.0,1141.0
1805010,1150.0,1165.0,1154.0,1163.0
1902541,1186.0,1187.0,1188.0,1185.0
2002147,1193.0,1229.0,1212.0,1216.0
2100022,1253.0,1246.0,1231.0,1267.0
2202540,1301.0,1242.0,1286.0,1250.0
2300033,1288.0,1291.0,1272.0,1300.0
2402559,1340.0,1303.0,1287.0,1361.0
2505069,1390.0,1293.0,1314.0,1367.0
2602575,1323.0,1410.0,1306.0,1433.0
2702573,1369.0,1378.0,1282.0,1501.0
2802578,1507.0,1328.0,1278.0,1569.0
2902580,1351.0,1393.0,1394.0,1552.0
3000043,1419.0,1402.0,1330.0,1584.0
3102580,1336.0,1378.0,1488.0,1574.0
3205079,1312.0,1397.0,1375.0,1716.0
3302565,1351.0,1403.0,1507.0,1565.0
3402527,1353.0,1429.0,1518.0,1563.0
3499994,1409.0,1445.0,1593.0,1523.0
3602505,1335.0,1469.0,1530.0,1695.0
3700008,1388.0,1475.0,1598.0,1568.0
3802523,1310.0,1430.0,1544.0,1698.0
3905004,1409.0,1376.0,1744.0,1396.0
4002515,1462.0,1365.0,1623.0,1522.0
4102513,1382.0,1513.0,1648.0,1551.0
4199990,1425.0,1370.0,1414.0,1891.0
4302508,1489.0,1391.0,1718.0,1532.0
4399997,1547.0,1419.0,1567.0,1598.0
4502522,1350.0,1539.0,1590.0,1621.0
4605046,1423.0,1414.0,1516.0,1746.0
4702522,1566.0,1394.0,1702.0,1439.0
4802515,1507.0,1427.0,1624.0,1543.0
4899997,1298.0,1613.0,1501.0,1665.0
5002536,1371.0,1441.0,1520.0,1706.0
5099996,1477.0,1387.0,1622.0,1555.0
5202530,1448.0,1496.0,1601.0,1520.0
5305002,1386.0,1483.0,1681.0,1511.0
5402512,1375.0,1438.0,1568.0,1683.0
5497561,1366.0,1547.0,1668.0,1519.0
5600023,1430.0,1479.0,1687.0,1503.0
5702532,1521.0,1386.0,1645.0,1575.0
5799987,1597.0,1312.0,1727.0,1511.0
5902512,1532.0,1426.0,1587.0,1601.0
6004986,1429.0,1585.0,1702.0,1457.0
6102506,1493.0,1481.0,1625.0,1633.0
6205034,1500.0,1413.0,1706.0,1624.0
6300015,1520.0,1419.0,1702.0,1580.0
6402520,1506.0,1431.0,1591.0,1658.0
6500026,1477.0,1511.0,1624.0,1543.0
6602560,1426.0,1468.0,1483.0,1723.0
6705050,1488.0,1392.0,1623.0,1597.0
6802548,1409.0,1489.0,1570.0,1632.0
6902554,1489.0,1384.0,1562.0,1570.0
7000045,1451.0,1388.0,1511.0,1629.0
7102574,1413.0,1454.0,1533.0,1600.0
7200052,1488.0,1378.0,1561.0,1605.0
7302583,1390.0,1514.0,1566.0,1601.0
7405080,1364.0,1578.0,1524.0,1627.0
7502586,1580.0,1347.0,1599.0,1574.0
7604612,1556.0,1355.0,1622.0,1567.0
