timestamp,output[0],output[1],output[2],output[3]
0,1048.0,1048.0,1048.0,1048.0
102492,1050.0,1050.0,1050.0,1050.0
200037,1050.0,1050.0,1050.0,1050.0
300030,1050.0,1050.0,1050.0,1050.0
402556,1050.0,1050.0,1050.0,1050.0
500089,1050.0,1050.0,1050.0,1050.0
602593,1050.0,1050.0,1050.0,1050.0
699987,1050.0,1050.0,1050.0,1050.0
802482,1050.0,1050.0,1050.0,1050.0
899992,1050.0,1050.0,1050.0,1050.0
999984,1050.0,1050.0,1050.0,1050.0
1100044,1050.0,1050.0,1050.0,1050.0
1200040,1050.0,1050.0,1050.0,1050.0
1302497,1050.0,1050.0,1050.0,1050.0
1399997,1050.0,1050.0,1050.0,1050.0
1502494,1148.0,1059.0,1157.0,1050.0
1600033,1146.0,1192.0,1289.0,1050.0
1699999,1123.0,1252.0,1296.0,1066.0
1802482,1101.0,1267.0,1296.0,1072.0
1899998,1131.0,1190.0,1271.0,1050.0
2002487,1198.0,1112.0,1260.0,1050.0
2099985,1200.0,1143.0,1293.0,1050.0
2202480,1209.0,1156.0,1315.0,1050.0
2299990,1233.0,1134.0,1317.0,1050.0
2399992,1216.0,1156.0,1323.0,1050.0
2502478,1274.0,1108.0,1332.0,1050.0
2597514,1220.0,1214.0,1392.0,1053.0
2702566,1330.0,1223.0,1503.0,1050.0
2800011,1338.0,1284.0,1490.0,1092.0
2902478,1293.0,1333.0,1518.0,1071.0
3000015,1311.0,1391.0,1541.0,1078.0
3100009,1308.0,1344.0,1501.0,1180.0
3202475,1379.0,1326.0,1529.0,1104.0
3300130,1297.0,1415.0,1513.0,1171.0
3402487,1390.0,1366.0,1521.0,1207.0
3500004,1346.0,1402.0,1503.0,1292.0
3602475,1293.0,1525.0,1601.0,1303.0
3700028,1463.0,1399.0,1547.0,1379.0
3800019,1552.0,1341.0,1556.0,1394.0
3902547,1437.0,1445.0,1504.0,1463.0
4000093,1383.0,1539.0,1448.0,1478.0
