timestamp,output[0],output[1],output[2],output[3]
0,1050.0,1050.0,1050.0,1050.0
102534,1050.0,1050.0,1050.0,1050.0
202534,1050.0,1050.0,1050.0,1050.0
301248,1050.0,1050.0,1050.0,1050.0
402515,1050.0,1050.0,1050.0,1050.0
501251,1050.0,1050.0,1050.0,1050.0
601259,1050.0,1050.0,1050.0,1050.0
698780,1050.0,1050.0,1050.0,1050.0
801321,1050.0,1050.0,1050.0,1050.0
898797,1050.0,1050.0,1050.0,1050.0
1001300,1050.0,1050.0,1050.0,1050.0
1101306,1055.0,1057.0,1050.0,1058.0
1201305,1083.0,1080.0,1082.0,1086.0
1301328,1099.0,1106.0,1104.0,1105.0
1398746,1101.0,1106.0,1105.0,1101.0
1501272,1122.0,1110.0,1116.0,1119.0
1603756,1153.0,1145.0,1140.0,1156.0
1701264,1165.0,1151.0,1152.0,1168.0
1803785,1182.0,1144.0,1152.0,1170.0
1901275,1176.0,1153.0,1167.0,1167.0
2001246,1191.0,1146.0,1174.0,1166.0
2098764,1183.0,1167.0,1177.0,1164.0
2201243,1188.0,1167.0,1173.0,1182.0
2303747,1190.0,1181.0,1191.0,1181.0
2401280,1221.0,1232.0,1209.0,1246.0
2503794,1246.0,1243.0,1233.0,1258.0
2601302,1296.0,1256.0,1279.0,1277.0
2701311,1311.0,1275.0,1306.0,1268.0
2798809,1309.0,1289.0,1321.0,1281.0
2901343,1293.0,1332.0,1323.0,1303.0
3003775,1370.0,1299.0,1307.0,1368.0
3101258,1369.0,1319.0,1333.0,1363.0
3203739,1425.0,1301.0,1343.0,1380.0
3301249,1401.0,1370.0,1375.0,1411.0
3401266,1508.0,1302.0,1274.0,1515.0
3501270,1485.0,1312.0,1314.0,1491.0
3601277,1342.0,1452.0,1279.0,1532.0
3703760,1390.0,1425.0,1375.0,1434.0
3801256,1348.0,1424.0,1445.0,1488.0
3903787,1432.0,1390.0,1388.0,1529.0
4001279,1478.0,1321.0,1545.0,1457.0
4101274,1337.0,1412.0,1468.0,1626.0
4198775,1317.0,1523.0,1557.0,1474.0
4301307,1350.0,1458.0,1513.0,1593.0
4403787,1357.0,1402.0,1600.0,1555.0
4501293,1357.0,1394.0,1498.0,1662.0
4603782,1406.0,1359.0,1527.0,1606.0
4701263,1422.0,1479.0,1640.0,1474.0
4801265,1346.0,1551.0,1480.0,1683.0
4898428,1442.0,1556.0,1612.0,1468.0
5001301,1461.0,1493.0,1640.0,1483.0
5103763,1455.0,1525.0,1680.0,1418.0
5201256,1292.0,1534.0,1646.0,1556.0
5301280,1348.0,1468.0,1538.0,1636.0
5401262,1302.0,1455.0,1466.0,1767.0
5501259,1468.0,1304.0,1580.0,1638.0
5598759,1316.0,1527.0,1590.0,1562.0
5701271,1459.0,1462.0,1623.0,1526.0
5803779,1363.0,1581.0,1654.0,1503.0
5901264,1432.0,1512.0,1499.0,1657.0
6003777,1489.0,1393.0,1542.0,1676.0
6101321,1409.0,1531.0,1567.0,1612.0
6201269,1506.0,1424.0,1648.0,1537.0
6298764,1374.0,1509.0,1620.0,1597.0
6401246,1456.0,1414.0,1636.0,1591.0
6503741,1404.0,1409.0,1698.0,1560.0
6601250,1366.0,1415.0,1598.0,1668.0
6703776,1354.0,1409.0,1670.0,1579.0
6801289,1431.0,1440.0,1537.0,1578.0
6901242,1460.0,1421.0,1510.0,1599.0
7001288,1436.0,1470.0,1629.0,1487.0
7101282,1527.0,1386.0,1471.0,1693.0
7203761,1488.0,1445.0,1563.0,1603.0
7301308,1347.0,1535.0,1523.0,1695.0
7403764,1334.0,1541.0,1542.0,1683.0
7501268,1500.0,1380.0,1546.0,1674.0
7601309,1484.0,1405.0,1540.0,1671.0
7698754,1455.0,1448.0,1547.0,1650.0
7801276,1580.0,1356.0,1547.0,1636.0
7903743,1466.0,1474.0,1603.0,1576.0
8001299,1459.0,1457.0,1652.0,1552.0
8101252,1431.0,1531.0,1674.0,1484.0
8201273,1629.0,1353.0,1696.0,1442.0
8301292,1430.0,1456.0,1703.0,1531.0
8398748,1459.0,1427.0,1631.0,1582.0
8501251,1529.0,1420.0,1546.0,1604.0
8603792,1530.0,1313.0,1736.0,1497.0
8701261,1505.0,1404.0,1610.0,1555.0
8803752,1353.0,1524.0,1728.0,1492.0
8901242,1473.0,1408.0,1706.0,1514.0
9001269,1342.0,1556.0,1635.0,1567.0
9098755,1331.0,1572.0,1548.0,1649.0
9201264,1553.0,1340.0,1741.0,1466.0
9303748,1321.0,1587.0,1527.0,1666.0
9401260,1387.0,1476.0,1605.0,1632.0
9501270,1555.0,1393.0,1536.0,1616.0
9601245,1408.0,1470.0,1583.0,1638.0
9701293,1451.0,1455.0,1609.0,1584.0
9798756,1366.0,1478.0,1527.0,1729.0
9901250,1459.0,1449.0,1722.0,1469.0
10003727,1356.0,1551.0,1579.0,1614.0
10101289,1443.0,1405.0,1580.0,1671.0
10203781,1453.0,1505.0,1564.0,1577.0
10301282,1433.0,1429.0,1610.0,1628.0
10401293,1384.0,1435.0,1703.0,1578.0
10498842,1404.0,1499.0,1581.0,1616.0
10601309,1391.0,1421.0,1493.0,1795.0
10703810,1472.0,1400.0,1572.0,1655.0
10801258,1585.0,1319.0,1572.0,1624.0
10903758,1357.0,1520.0,1582.0,1641.0
11001245,1309.0,1531.0,1507.0,1734.0
11101245,1315.0,1506.0,1654.0,1587.0
11198779,1397.0,1468.0,1701.0,1502.0
11301282,1472.0,1386.0,1580.0,1642.0
11403748,1511.0,1391.0,1668.0,1510.0
