timestamp,output[0],output[1],output[2],output[3]
0,1050.0,1050.0,1050.0,1050.0
102536,1050.0,1050.0,1050.0,1050.0
199984,1050.0,1050.0,1050.0,1050.0
304990,1050.0,1050.0,1050.0,1050.0
399992,1050.0,1050.0,1050.0,1050.0
502525,1069.0,1050.0,1069.0,1050.0
599964,1140.0,1071.0,1165.0,1051.0
699974,1152.0,1157.0,1259.0,1050.0
799953,1176.0,1229.0,1342.0,1062.0
899964,1173.0,1253.0,1313.0,1098.0
1004963,1200.0,1226.0,1376.0,1050.0
1099981,1227.0,1246.0,1423.0,1050.0
1204964,1192.0,1301.0,1410.0,1093.0
1299992,1186.0,1314.0,1434.0,1080.0
1399948,1192.0,1296.0,1453.0,1085.0
1502502,1188.0,1309.0,1470.0,1069.0
1599968,1217.0,1334.0,1521.0,1057.0
1704965,1205.0,1330.0,1521.0,1095.0
1799948,1298.0,1279.0,1527.0,1050.0
1902492,1230.0,1371.0,1495.0,1069.0
1999954,1258.0,1341.0,1510.0,1063.0
2100001,1251.0,1321.0,1478.0,1088.0
2202525,1346.0,1232.0,1529.0,1050.0
2300008,1268.0,1348.0,1567.0,1051.0
2405025,1355.0,1305.0,1525.0,1052.0
2499960,1349.0,1310.0,1609.0,1050.0
2602555,1437.0,1320.0,1554.0,1138.0
2700005,1416.0,1311.0,1469.0,1262.0
2802551,1414.0,1234.0,1408.0,1390.0
2902534,1346.0,1285.0,1428.0,1309.0
2999962,1234.0,1263.0,1641.0,1115.0
3104958,1208.0,1254.0,1385.0,1285.0
3199993,1088.0,1356.0,1444.0,1277.0
3500043,1316.0,1388.0,1414.0,1354.0
3599986,1410.0,1353.0,1465.0,1304.0
3699965,1230.0,1514.0,1448.0,1299.0
3804977,1440.0,1334.0,1358.0,1333.0
3899977,1172.0,1573.0,1258.0,1461.0
4002523,1270.0,1627.0,1204.0,1364.0
4099959,1322.0,1549.0,1317.0,1325.0
4199981,1534.0,1420.0,1393.0,1353.0
4302543,1383.0,1500.0,1422.0,1349.0
4399950,1410.0,1418.0,1374.0,1449.0
4504960,1294.0,1472.0,1554.0,1282.0
4599985,1252.0,1356.0,1479.0,1496.0
4702526,1316.0,1382.0,1466.0,1533.0
4799959,1396.0,1355.0,1489.0,1478.0
4899977,1488.0,1317.0,1507.0,1408.0
5002011,1381.0,1427.0,1425.0,1538.0
5099953,1440.0,1361.0,1526.0,1515.0
5205002,1409.0,1441.0,1545.0,1470.0
5299993,1522.0,1320.0,1485.0,1554.0
5402495,1292.0,1425.0,1453.0,1686.0
5499991,1431.0,1303.0,1513.0,1521.0
5600024,1442.0,1340.0,1509.0,1477.0
5702602,1269.0,1469.0,1523.0,1540.0
5799954,1554.0,1345.0,1607.0,1363.0
5900059,1492.0,1368.0,1466.0,1582.0
5999959,1569.0,1406.0,1621.0,1371.0
6102506,1468.0,1458.0,1692.0,1411.0
6200047,1383.0,1441.0,1537.0,1670.0
6299981,1377.0,1458.0,1462.0,1738.0
6399967,1459.0,1415.0,1470.0,1687.0
6499968,1460.0,1393.0,1440.0,1702.0
6604967,1538.0,1337.0,1526.0,1501.0
6700010,1417.0,1420.0,1447.0,1542.0
6802536,1413.0,1358.0,1569.0,1451.0
6899975,1355.0,1409.0,1549.0,1481.0
7000000,1375.0,1419.0,1457.0,1576.0
7102503,1412.0,1465.0,1602.0,1477.0
7200004,1571.0,1276.0,1596.0,1572.0
7304954,1393.0,1484.0,1483.0,1687.0
7399980,1578.0,1358.0,1688.0,1423.0
7502493,1533.0,1367.0,1467.0,1632.0
7599957,1353.0,1550.0,1522.0,1548.0
7699977,1458.0,1313.0,1595.0,1611.0
7799980,1452.0,1407.0,1471.0,1645.0
7899959,1506.0,1436.0,1482.0,1631.0
8004951,1537.0,1509.0,1636.0,1417.0
8099975,1358.0,1461.0,1554.0,1704.0
8202457,1382.0,1519.0,1574.0,1570.0
8299970,1446.0,1503.0,1541.0,1516.0
8399968,1480.0,1372.0,1549.0,1605.0
8502508,1329.0,1451.0,1473.0,1719.0
8599983,1416.0,1485.0,1563.0,1444.0
8704960,1499.0,1322.0,1529.0,1509.0
8800014,1301.0,1428.0,1553.0,1571.0
8902539,1357.0,1373.0,1557.0,1585.0
8999949,1356.0,1449.0,1459.0,1686.0
9099965,1369.0,1426.0,1537.0,1647.0
9202520,1350.0,1417.0,1586.0,1538.0
9299970,1349.0,1406.0,1449.0,1697.0
9405008,1423.0,1452.0,1639.0,1586.0
9500064,1503.0,1307.0,1631.0,1659.0
9602586,1485.0,1427.0,1501.0,1687.0
9699965,1412.0,1486.0,1592.0,1610.0
9802489,1495.0,1386.0,1624.0,1503.0
9902510,1373.0,1408.0,1678.0,1501.0
10000018,1427.0,1316.0,1587.0,1617.0
10104966,1568.0,1359.0,1638.0,1407.0
10199974,1411.0,1415.0,1482.0,1672.0
10302503,1292.0,1548.0,1511.0,1632.0
10399985,1441.0,1426.0,1613.0,1526.0
10499990,1357.0,1453.0,1660.0,1488.0
10599957,1282.0,1455.0,1563.0,1601.0
10699961,1379.0,1351.0,1631.0,1524.0
10804950,1391.0,1328.0,1522.0,1602.0
10899977,1359.0,1455.0,1474.0,1580.0
11002497,1517.0,1325.0,1599.0,1441.0
11099963,1506.0,1362.0,1687.0,1457.0
11199952,1436.0,1519.0,1686.0,1459.0
11302491,1427.0,1458.0,1502.0,1713.0
11399963,1385.0,1509.0,1505.0,1702.0
11504977,1438.0,1450.0,1675.0,1538.0
11599956,1467.0,1436.0,1593.0,1608.0
11702495,1442.0,1365.0,1678.0,1615.0
11799977,1317.0,1546.0,1629.0,1579.0
11902518,1496.0,1393.0,1580.0,1576.0
12002506,1397.0,1445.0,1587.0,1587.0
12100008,1466.0,1443.0,1549.0,1560.0
12204953,1590.0,1432.0,1409.0,1596.0
12299956,1383.0,1497.0,1520.0,1622.0
12402502,1345.0,1464.0,1536.0,1561.0
12499993,1476.0,1339.0,1552.0,1518.0
12602500,1391.0,1439.0,1505.0,1537.0
