timestamp,output[0],output[1],output[2],output[3]
0,1050.0,1050.0,1050.0,1050.0
104998,1050.0,1050.0,1050.0,1050.0
199990,1050.0,1050.0,1050.0,1050.0
307498,1050.0,1050.0,1050.0,1050.0
405009,1050.0,1050.0,1050.0,1050.0
500196,1050.0,1050.0,1050.0,1050.0
602506,1050.0,1050.0,1050.0,1050.0
699991,1050.0,1050.0,1050.0,1050.0
802493,1050.0,1050.0,1050.0,1050.0
900009,1115.0,1085.0,1112.0,1089.0
999988,1123.0,1094.0,1117.0,1099.0
1102483,1176.0,1142.0,1159.0,1158.0
1199995,1174.0,1203.0,1211.0,1146.0
1302479,1223.0,1173.0,1192.0,1172.0
1399985,1217.0,1173.0,1207.0,1176.0
1502505,1235.0,1166.0,1208.0,1188.0
1600001,1268.0,1222.0,1267.0,1219.0
1700004,1304.0,1264.0,1287.0,1275.0
1802505,1334.0,1308.0,1306.0,1347.0
1900019,1374.0,1327.0,1351.0,1355.0
2002062,1411.0,1329.0,1370.0,1360.0
2100019,1375.0,1447.0,1466.0,1390.0
2202502,1399.0,1457.0,1394.0,1562.0
2300012,1483.0,1415.0,1485.0,1530.0
2405019,1481.0,1423.0,1477.0,1551.0
2502502,1471.0,1364.0,1552.0,1550.0
2599999,1284.0,1525.0,1606.0,1544.0
2702500,1347.0,1378.0,1619.0,1581.0
2800001,1403.0,1382.0,1470.0,1646.0
2902551,1297.0,1475.0,1616.0,1543.0
3000028,1456.0,1408.0,1491.0,1576.0
3100007,1413.0,1340.0,1564.0,1607.0
3202501,1438.0,1454.0,1553.0,1607.0
3300027,1524.0,1393.0,1531.0,1653.0
3402498,1493.0,1442.0,1649.0,1509.0
3500002,1468.0,1400.0,1484.0,1666.0
3602552,1400.0,1455.0,1622.0,1511.0
3700065,1339.0,1465.0,1598.0,1580.0
3800032,1291.0,1528.0,1539.0,1550.0
3902519,1374.0,1425.0,1561.0,1561.0
4000036,1379.0,1492.0,1660.0,1592.0
4102531,1567.0,1379.0,1621.0,1568.0
4200001,1525.0,1386.0,1607.0,1583.0
4302489,1461.0,1440.0,1465.0,1672.0
4400024,1443.0,1359.0,1593.0,1601.0
4505023,1414.0,1402.0,1663.0,1501.0
4602502,1459.0,1367.0,1546.0,1558.0
4700024,1555.0,1300.0,1500.0,1553.0
4802502,1383.0,1455.0,1607.0,1483.0
4899998,1464.0,1346.0,1504.0,1634.0
5002497,1442.0,1387.0,1457.0,1644.0
5100015,1343.0,1423.0,1539.0,1581.0
5205030,1524.0,1339.0,1525.0,1601.0
5302490,1440.0,1485.0,1606.0,1570.0
5400001,1381.0,1475.0,1680.0,1563.0
5502497,1406.0,1474.0,1648.0,1572.0
5599994,1267.0,1587.0,1634.0,1596.0
5702496,1266.0,1624.0,1716.0,1563.0
5800007,1495.0,1475.0,1615.0,1632.0
5900075,1314.0,1537.0,1636.0,1641.0
6002580,1345.0,1516.0,1619.0,1617.0
6100049,1460.0,1373.0,1590.0,1654.0
6202556,1404.0,1456.0,1540.0,1678.0
6300040,1422.0,1375.0,1612.0,1642.0
6402543,1397.0,1460.0,1542.0,1581.0
6500023,1315.0,1475.0,1591.0,1598.0
6605012,1600.0,1246.0,1526.0,1605.0
