timestamp,output[0],output[1],output[2],output[3]
0,1050.0,1050.0,1050.0,1050.0
100023,1050.0,1050.0,1050.0,1050.0
200002,1050.0,1050.0,1050.0,1050.0
300004,1050.0,1050.0,1050.0,1050.0
415010,1050.0,1050.0,1050.0,1050.0
499998,1050.0,1050.0,1050.0,1050.0
600023,1058.0,1050.0,1058.0,1050.0
699998,1105.0,1092.0,1100.0,1094.0
800003,1126.0,1124.0,1114.0,1119.0
902582,1128.0,1097.0,1128.0,1091.0
1000036,1124.0,1081.0,1106.0,1114.0
1102514,1139.0,1091.0,1146.0,1107.0
1200044,1163.0,1122.0,1176.0,1135.0
1299994,1208.0,1147.0,1182.0,1169.0
1402506,1209.0,1150.0,1191.0,1143.0
1499998,1227.0,1172.0,1178.0,1192.0
1602621,1260.0,1180.0,1252.0,1209.0
1700045,1237.0,1204.0,1264.0,1208.0
1800017,1266.0,1196.0,1240.0,1224.0
1902549,1254.0,1251.0,1284.0,1225.0
1999987,1290.0,1283.0,1320.0,1278.0
2102493,1326.0,1263.0,1314.0,1297.0
2200002,1366.0,1236.0,1285.0,1340.0
2302637,1294.0,1338.0,1368.0,1304.0
2400051,1345.0,1351.0,1338.0,1441.0
2500026,1358.0,1414.0,1456.0,1414.0
2602517,1452.0,1371.0,1482.0,1433.0
2699987,1386.0,1456.0,1464.0,1469.0
2802490,1431.0,1373.0,1535.0,1416.0
2899992,1404.0,1367.0,1439.0,1519.0
3002513,1289.0,1417.0,1476.0,1469.0
3099985,1242.0,1346.0,1509.0,1446.0
3199996,1296.0,1302.0,1401.0,1436.0
3302498,1252.0,1289.0,1314.0,1379.0
3399989,1252.0,1252.0,1336.0,1368.0
3502495,1292.0,1259.0,1424.0,1376.0
3599992,1344.0,1282.0,1434.0,1389.0
3702499,1263.0,1367.0,1462.0,1467.0
3799990,1294.0,1379.0,1502.0,1449.0
3899992,1387.0,1513.0,1520.0,1531.0
4002503,1390.0,1422.0,1547.0,1636.0
4099992,1333.0,1386.0,1492.0,1599.0
4202501,1460.0,1325.0,1497.0,1467.0
4299998,1328.0,1338.0,1535.0,1463.0
4402565,1143.0,1453.0,1546.0,1434.0
4500023,1389.0,1251.0,1405.0,1512.0
4600089,1287.0,1324.0,1407.0,1358.0
4702525,1213.0,1350.0,1379.0,1412.0
4800025,1279.0,1227.0,1379.0,1371.0
4902522,1296.0,1262.0,1376.0,1349.0
5000063,1307.0,1391.0,1429.0,1477.0
5102567,1272.0,1400.0,1511.0,1455.0
5200006,1560.0,1318.0,1503.0,1553.0
5300029,1472.0,1438.0,1499.0,1587.0
5402504,1292.0,1437.0,1465.0,1685.0
5499993,1473.0,1233.0,1455.0,1534.0
5602496,1325.0,1347.0,1461.0,1410.0
5700043,1372.0,1262.0,1438.0,1373.0
5802563,1347.0,1311.0,1374.0,1409.0
5900040,1334.0,1334.0,1337.0,1437.0
5999558,1180.0,1464.0,1516.0,1366.0
6102520,1407.0,1322.0,1333.0,1481.0
6200004,1342.0,1359.0,1286.0,1448.0
6302488,1050.0,1513.0,1505.0,1420.0
6399665,1050.0,1657.0,1586.0,1357.0
6502570,1613.0,1158.0,1337.0,1558.0
6600037,1523.0,1308.0,1478.0,1557.0
6700036,1306.0,1531.0,1485.0,1602.0
6802497,1523.0,1386.0,1372.0,1626.0
6899989,1525.0,1215.0,1399.0,1636.0
7002507,1361.0,1294.0,1435.0,1514.0
7099990,1263.0,1299.0,1410.0,1489.0
7202521,1372.0,1260.0,1422.0,1499.0
7299995,1307.0,1334.0,1462.0,1456.0
7399994,1353.0,1350.0,1469.0,1383.0
7500051,1349.0,1380.0,1478.0,1506.0
7600001,1324.0,1382.0,1478.0,1395.0
7702516,1447.0,1206.0,1475.0,1382.0
7799995,1363.0,1336.0,1468.0,1441.0
7902510,1270.0,1416.0,1473.0,1446.0
7999988,1345.0,1395.0,1372.0,1525.0
8099993,1369.0,1455.0,1601.0,1428.0
8202502,1509.0,1364.0,1422.0,1563.0
8299987,1281.0,1493.0,1514.0,1519.0
8402493,1290.0,1477.0,1391.0,1541.0
8500002,1335.0,1359.0,1565.0,1339.0
8594987,1392.0,1315.0,1418.0,1438.0
8699994,1355.0,1327.0,1444.0,1417.0
8800006,1356.0,1330.0,1437.0,1407.0
8902526,1295.0,1407.0,1415.0,1445.0
9002025,1361.0,1329.0,1358.0,1526.0
9102524,1350.0,1368.0,1507.0,1426.0
9200011,1352.0,1383.0,1621.0,1356.0
9302520,1342.0,1445.0,1473.0,1455.0
9400032,1339.0,1483.0,1555.0,1475.0
9500020,1428.0,1405.0,1497.0,1519.0
9602029,1432.0,1352.0,1572.0,1419.0
9700012,1338.0,1394.0,1485.0,1482.0
9802500,1302.0,1372.0,1404.0,1488.0
9900014,1193.0,1456.0,1439.0,1446.0
10002504,1345.0,1322.0,1464.0,1400.0
10100116,1314.0,1294.0,1433.0,1404.0
10200082,1240.0,1354.0,1436.0,1396.0
10302540,1180.0,1423.0,1397.0,1393.0
10402502,1276.0,1334.0,1404.0,1405.0
10502503,1595.0,1097.0,1386.0,1468.0
10600000,1544.0,1238.0,1317.0,1502.0
10702588,1241.0,1450.0,1495.0,1472.0
10799985,1383.0,1332.0,1511.0,1517.0
10900089,1453.0,1329.0,1497.0,1466.0
11002540,1466.0,1283.0,1346.0,1623.0
11100042,1375.0,1400.0,1549.0,1421.0
11202490,1401.0,1384.0,1385.0,1598.0
11300045,1351.0,1417.0,1582.0,1392.0
11402103,1439.0,1307.0,1423.0,1488.0
11499997,1390.0,1338.0,1472.0,1405.0
11600014,1372.0,1389.0,1463.0,1482.0
11702502,1417.0,1352.0,1476.0,1494.0
11799984,1266.0,1502.0,1444.0,1472.0
11902534,1254.0,1414.0,1477.0,1431.0
12000010,1281.0,1436.0,1422.0,1538.0
12102495,1338.0,1377.0,1540.0,1383.0
12199959,1379.0,1336.0,1461.0,1406.0
12299985,1322.0,1369.0,1353.0,1479.0
12402497,1309.0,1366.0,1453.0,1441.0
12499991,1353.0,1378.0,1421.0,1485.0
12602487,1306.0,1390.0,1568.0,1387.0
12699998,1370.0,1385.0,1466.0,1449.0
12802534,1257.0,1439.0,1484.0,1493.0
12899989,1311.0,1365.0,1533.0,1406.0
12999992,1301.0,1380.0,1493.0,1411.0
13101995,1243.0,1437.0,1474.0,1434.0
13199994,1334.0,1377.0,1400.0,1503.0
13302508,1439.0,1282.0,1483.0,1410.0
13399997,1395.0,1344.0,1525.0,1384.0
13502009,1306.0,1423.0,1448.0,1506.0
13599997,1311.0,1437.0,1534.0,1413.0
13700028,1302.0,1441.0,1470.0,1483.0
13800071,1323.0,1446.0,1512.0,1419.0
13900031,1341.0,1437.0,1449.0,1503.0
14002523,1330.0,1428.0,1515.0,1455.0
14100012,1408.0,1339.0,1481.0,1495.0
14202514,1367.0,1402.0,1370.0,1573.0
14299993,1317.0,1437.0,1544.0,1414.0
14399998,1394.0,1380.0,1457.0,1477.0
14502494,1396.0,1329.0,1476.0,1414.0
14599994,1431.0,1266.0,1444.0,1424.0
14702568,1289.0,1365.0,1420.0,1453.0
14800036,1377.0,1321.0,1367.0,1435.0
14902533,1301.0,1394.0,1487.0,1396.0
14999983,1376.0,1326.0,1461.0,1442.0
15100010,1324.0,1423.0,1447.0,1459.0
15199989,1208.0,1511.0,1449.0,1473.0
15300012,1361.0,1356.0,1458.0,1456.0
15402512,1335.0,1337.0,1507.0,1414.0
15500068,1437.0,1302.0,1342.0,1514.0
15602544,1257.0,1442.0,1485.0,1493.0
15700012,1460.0,1294.0,1456.0,1482.0
15800015,1329.0,1424.0,1546.0,1417.0
15902128,1389.0,1393.0,1494.0,1488.0
15999985,1305.0,1447.0,1584.0,1448.0
16102505,1330.0,1434.0,1565.0,1412.0
16200001,1319.0,1394.0,1524.0,1427.0
16300001,1256.0,1431.0,1437.0,1485.0
16399985,1231.0,1420.0,1490.0,1438.0
16499984,1369.0,1313.0,1471.0,1422.0
16602502,1295.0,1407.0,1416.0,1457.0
16699988,1410.0,1307.0,1482.0,1448.0
16802493,1334.0,1416.0,1481.0,1452.0
17099994,1395.0,1345.0,1475.0,1459.0
17200024,1250.0,1453.0,1422.0,1473.0
17302495,1323.0,1340.0,1443.0,1486.0
17399984,1246.0,1436.0,1475.0,1435.0
17502472,1393.0,1291.0,1466.0,1439.0
17600015,1456.0,1313.0,1425.0,1499.0
17699987,1438.0,1337.0,1517.0,1424.0
17797533,1470.0,1313.0,1398.0,1529.0
17899998,1362.0,1384.0,1523.0,1427.0
18002513,1376.0,1372.0,1487.0,1461.0
18102515,1334.0,1426.0,1427.0,1512.0
18202560,1286.0,1425.0,1502.0,1445.0
18300018,1327.0,1373.0,1502.0,1391.0
18402534,1314.0,1380.0,1479.0,1403.0
18499989,1385.0,1321.0,1436.0,1437.0
18600063,1262.0,1444.0,1462.0,1430.0
18700043,1363.0,1368.0,1366.0,1512.0
18800010,1228.0,1499.0,1496.0,1460.0
18899994,1433.0,1336.0,1543.0,1397.0
19000012,1273.0,1462.0,1432.0,1525.0
19102591,1403.0,1380.0,1453.0,1448.0
19199995,1347.0,1401.0,1427.0,1512.0
