timestamp,output[0],output[1],output[2],output[3]
0,1050.0,1050.0,1050.0,1050.0
102512,1050.0,1050.0,1050.0,1050.0
203817,1050.0,1050.0,1050.0,1050.0
301294,1050.0,1050.0,1050.0,1050.0
411279,1050.0,1050.0,1050.0,1050.0
500000,1050.0,1050.0,1050.0,1050.0
602496,1050.0,1050.0,1050.0,1050.0
702486,1094.0,1059.0,1065.0,1051.0
802511,1137.0,1148.0,1122.0,1138.0
902505,1154.0,1121.0,1162.0,1139.0
999990,1161.0,1153.0,1177.0,1122.0
1102493,1157.0,1152.0,1179.0,1142.0
1199998,1186.0,1138.0,1151.0,1150.0
1302493,1201.0,1138.0,1165.0,1148.0
1399985,1240.0,1180.0,1220.0,1184.0
1502509,1244.0,1180.0,1240.0,1206.0
1604987,1240.0,1184.0,1242.0,1206.0
1700022,1299.0,1203.0,1270.0,1248.0
1802489,1276.0,1302.0,1289.0,1262.0
1899992,1383.0,1270.0,1370.0,1262.0
2002553,1313.0,1341.0,1385.0,1334.0
2099999,1371.0,1319.0,1330.0,1381.0
2202503,1368.0,1321.0,1359.0,1421.0
2302515,1327.0,1388.0,1558.0,1317.0
2399985,1365.0,1320.0,1320.0,1576.0
2502493,1317.0,1365.0,1553.0,1331.0
2600042,1319.0,1353.0,1486.0,1404.0
2702521,1292.0,1339.0,1481.0,1447.0
2799988,1216.0,1416.0,1423.0,1488.0
2902516,1336.0,1374.0,1512.0,1321.0
3002510,1345.0,1395.0,1303.0,1507.0
3099994,1367.0,1354.0,1483.0,1355.0
3202511,1419.0,1288.0,1464.0,1417.0
3300010,1283.0,1430.0,1470.0,1405.0
3402519,1321.0,1369.0,1573.0,1289.0
3500006,1332.0,1353.0,1481.0,1357.0
3602517,1315.0,1367.0,1512.0,1362.0
3702519,1308.0,1419.0,1391.0,1457.0
3800006,1285.0,1443.0,1512.0,1473.0
3902590,1388.0,1349.0,1415.0,1570.0
4000049,1362.0,1385.0,1413.0,1530.0
4102539,1299.0,1411.0,1551.0,1347.0
4200011,1298.0,1386.0,1374.0,1508.0
4302517,1419.0,1254.0,1481.0,1396.0
4402511,1267.0,1397.0,1486.0,1406.0
4500021,1326.0,1300.0,1390.0,1560.0
4602480,1292.0,1325.0,1528.0,1444.0
4699994,1405.0,1290.0,1466.0,1431.0
