timestamp,output[0],output[1],output[2],output[3]
0,1050.0,1050.0,1050.0,1050.0
102494,1050.0,1050.0,1050.0,1050.0
202495,1050.0,1050.0,1050.0,1050.0
302524,1050.0,1050.0,1050.0,1050.0
399988,1050.0,1050.0,1050.0,1050.0
502523,1050.0,1050.0,1050.0,1050.0
604987,1116.0,1050.0,1116.0,1050.0
702527,1134.0,1067.0,1125.0,1079.0
802508,1140.0,1064.0,1130.0,1072.0
899996,1117.0,1087.0,1128.0,1074.0
1002494,1166.0,1100.0,1144.0,1119.0
1099999,1168.0,1130.0,1163.0,1140.0
1199988,1196.0,1135.0,1189.0,1150.0
1304995,1197.0,1160.0,1209.0,1146.0
1402522,1196.0,1162.0,1230.0,1128.0
1502524,1232.0,1192.0,1227.0,1192.0
1602496,1273.0,1180.0,1263.0,1195.0
1702505,1286.0,1224.0,1276.0,1236.0
1800010,1332.0,1250.0,1314.0,1274.0
1902505,1345.0,1250.0,1340.0,1251.0
2004989,1343.0,1255.0,1318.0,1281.0
2102598,1325.0,1286.0,1330.0,1286.0
2202500,1357.0,1272.0,1349.0,1294.0
2302563,1456.0,1238.0,1332.0,1354.0
2402522,1354.0,1393.0,1469.0,1306.0
2500071,1443.0,1312.0,1424.0,1356.0
2602522,1421.0,1345.0,1389.0,1394.0
2705042,1393.0,1465.0,1483.0,1443.0
2802538,1436.0,1433.0,1618.0,1369.0
2902555,1395.0,1477.0,1427.0,1559.0
3002524,1304.0,1535.0,1505.0,1520.0
3102531,1378.0,1417.0,1503.0,1568.0
3200035,1473.0,1395.0,1561.0,1567.0
3300012,1321.0,1550.0,1623.0,1551.0
3405044,1451.0,1353.0,1654.0,1570.0
3502536,1572.0,1350.0,1491.0,1570.0
3602519,1309.0,1442.0,1581.0,1609.0
3702539,1345.0,1576.0,1493.0,1454.0
3802514,1522.0,1293.0,1563.0,1507.0
3900020,1541.0,1371.0,1495.0,1478.0
3999995,1439.0,1418.0,1625.0,1550.0
4102530,1453.0,1421.0,1545.0,1625.0
4202533,1239.0,1557.0,1665.0,1571.0
4302507,1400.0,1540.0,1573.0,1521.0
4402490,1526.0,1373.0,1525.0,1556.0
4502513,1479.0,1335.0,1642.0,1435.0
4599999,1358.0,1417.0,1566.0,1527.0
4700000,1351.0,1443.0,1547.0,1527.0
4805001,1362.0,1436.0,1526.0,1551.0
4902516,1443.0,1348.0,1581.0,1556.0
5002502,1427.0,1495.0,1555.0,1623.0
5102492,1314.0,1514.0,1625.0,1647.0
5202094,1352.0,1530.0,1623.0,1596.0
5299993,1397.0,1449.0,1660.0,1581.0
5399990,1372.0,1382.0,1514.0,1598.0
5504987,1572.0,1252.0,1553.0,1476.0
5602514,1558.0,1264.0,1545.0,1485.0
5702522,1483.0,1366.0,1584.0,1555.0
5802489,1423.0,1419.0,1673.0,1478.0
5902498,1585.0,1311.0,1546.0,1554.0
5999988,1509.0,1401.0,1566.0,1523.0
6102498,1392.0,1467.0,1585.0,1567.0
6204987,1594.0,1283.0,1523.0,1615.0
6302584,1429.0,1440.0,1569.0,1575.0
6402487,1348.0,1457.0,1598.0,1613.0
6502494,1478.0,1374.0,1530.0,1637.0
6602496,1508.0,1400.0,1636.0,1494.0
6699982,1359.0,1526.0,1700.0,1486.0
6799983,1638.0,1289.0,1556.0,1616.0
6899994,1258.0,1533.0,1665.0,1644.0
7002509,1332.0,1553.0,1663.0,1523.0
7102494,1268.0,1565.0,1614.0,1519.0
7202502,1229.0,1484.0,1640.0,1507.0
7302495,1370.0,1379.0,1510.0,1557.0
7399994,1352.0,1398.0,1555.0,1505.0
7502513,1327.0,1415.0,1621.0,1457.0
7604981,1339.0,1444.0,1515.0,1580.0
7702502,1393.0,1389.0,1575.0,1525.0
7802486,1519.0,1322.0,1628.0,1498.0
7902485,1445.0,1405.0,1611.0,1619.0
8002497,1475.0,1455.0,1619.0,1550.0
8100016,1539.0,1362.0,1575.0,1623.0
8199980,1414.0,1375.0,1653.0,1638.0
8305001,1402.0,1451.0,1540.0,1548.0
8402549,1312.0,1460.0,1656.0,1512.0
8502518,1488.0,1347.0,1552.0,1631.0
8602485,1388.0,1419.0,1605.0,1675.0
8702498,1348.0,1597.0,1524.0,1647.0
8802499,1369.0,1464.0,1704.0,1594.0
8902506,1559.0,1345.0,1562.0,1633.0
9004979,1526.0,1422.0,1563.0,1588.0
9102496,1359.0,1462.0,1624.0,1656.0
9202502,1418.0,1478.0,1606.0,1598.0
9302495,1497.0,1371.0,1557.0,1676.0
9402489,1456.0,1466.0,1579.0,1574.0
9499986,1517.0,1497.0,1530.0,1487.0
9599978,1533.0,1378.0,1536.0,1585.0
9704982,1416.0,1496.0,1548.0,1509.0
9802517,1455.0,1361.0,1536.0,1569.0
9902505,1362.0,1496.0,1527.0,1507.0
10002489,1366.0,1484.0,1511.0,1537.0
10102518,1354.0,1549.0,1545.0,1486.0
10200016,1371.0,1537.0,1585.0,1536.0
10299978,1479.0,1384.0,1602.0,1583.0
10404981,1379.0,1490.0,1586.0,1606.0
10502610,1471.0,1346.0,1624.0,1601.0
10602486,1388.0,1511.0,1564.0,1516.0
10702500,1409.0,1385.0,1640.0,1532.0
10802509,1365.0,1428.0,1595.0,1561.0
10900007,1407.0,1421.0,1598.0,1508.0
10999981,1438.0,1370.0,1554.0,1578.0
11104981,1404.0,1440.0,1653.0,1494.0
11202497,1459.0,1367.0,1571.0,1592.0
11302510,1315.0,1506.0,1645.0,1555.0
11402502,1420.0,1350.0,1612.0,1646.0
11502492,1473.0,1398.0,1526.0,1651.0
11600061,1385.0,1465.0,1600.0,1605.0
11700059,1499.0,1366.0,1543.0,1646.0
11805055,1626.0,1244.0,1460.0,1707.0
11902579,1468.0,1431.0,1573.0,1556.0
12004584,1353.0,1469.0,1580.0,1626.0
12102571,1361.0,1457.0,1684.0,1522.0
12202564,1349.0,1514.0,1602.0,1554.0
12300058,1239.0,1600.0,1680.0,1477.0
12402578,1495.0,1358.0,1548.0,1595.0
12502569,1435.0,1414.0,1502.0,1648.0
12602576,1502.0,1361.0,1560.0,1582.0
12702590,1432.0,1501.0,1632.0,1457.0
12802560,1402.0,1416.0,1654.0,1557.0
12902599,1373.0,1515.0,1545.0,1592.0
13000055,1382.0,1470.0,1641.0,1523.0
13102598,1508.0,1384.0,1560.0,1570.0
13202556,1451.0,1447.0,1586.0,1571.0
